timestamp,scenario_id,scenario,seed,station,ccaa,ruta,n_alertas,alertas,critic_rechazos,utilidad,exito,errores,t_inference,t_prediction,t_risk,t_deliberative,t_critic,t_explanation,t_daily_plan,t_total,gt_alerts_ok,gt_actions_ok,gt_critic_ok,gt_pass
2026-06-09T16:00:33.501866,S01,Condiciones óptimas en La Rioja — verano suave,42,9170,La Rioja,estandar,0,,0,0.7915,True,,0.0,0.0,0.0,0.0,0.0,11.6,0.0,11.6,True,True,True,True
2026-06-09T16:00:45.999491,S02,Primavera tranquila en Navarra,42,9995Y,Navarra,estandar,0,,0,0.7915,True,,0.0,0.0,0.0,0.0,0.0,7.335,0.0,7.335,True,True,True,True
2026-06-09T16:00:53.335863,S03,Otoño templado en Castilla — post-vendimia,42,2889,Castilla y León,estandar,1,mildiu_risk,0,0.6575,True,,0.0,0.0,0.0,0.0,0.0,9.251,0.0,9.251,True,True,True,True
2026-06-09T16:01:02.588616,S04,Mildiu alto en floración — Galicia húmeda,42,1387,Galicia,urgente,1,mildiu_risk,0,0.7845,True,,0.0,0.0,0.0,0.0,0.0,8.295,0.0,8.295,True,True,True,True
2026-06-09T16:01:10.886038,S05,Mildiu crítico — humedad extrema y temperatura óptima,42,1387,Galicia,urgente,1,mildiu_risk,0,0.7845,True,,0.0,0.0,0.0,0.0,0.0,7.573,0.0,7.573,True,True,True,True
2026-06-09T16:01:18.461556,S06,Mildiu en maduración — septiembre Galicia (test guardarraíl),42,1387,Galicia,urgente,1,mildiu_risk,0,0.7845,True,,0.0,0.0,0.0,0.0,0.0,7.985,0.0,7.985,True,True,True,True
2026-06-09T16:01:26.447989,S07,Estrés hídrico moderado — verano seco La Rioja,42,9170,La Rioja,urgente,3,heat_stress|future_water_stress|irrigation_need,0,0.5515,True,,0.0,0.0,0.0,0.001,0.0,7.781,0.0,7.782,True,True,True,True
2026-06-09T16:01:34.231374,S08,Estrés hídrico severo — ola de calor Castilla,42,2889,Castilla y León,urgente,3,heat_stress|future_water_stress|irrigation_need,0,0.5515,True,,0.0,0.0,0.0,0.001,0.0,8.804,0.0,8.805,True,True,True,True
2026-06-09T16:01:43.036905,S09,Riego intensivo con lluvia — test guardarraíl,42,9170,La Rioja,estandar,0,,0,0.7915,True,,0.0,0.0,0.0,0.0,0.0,7.579,0.0,7.579,True,True,True,True
2026-06-09T16:01:50.617542,S10,Helada tardía en brotación — Castilla y León,42,2889,Castilla y León,urgente,1,frost_risk,0,0.7605,True,,0.0,0.0,0.0,0.0,0.0,8.086,0.0,8.086,True,True,True,True
2026-06-09T16:01:58.704783,S11,Riesgo de helada leve — temperatura límite,42,9995Y,Navarra,urgente,1,frost_risk,0,0.7605,True,,0.0,0.0,0.0,0.0,0.0,8.189,0.0,8.189,True,True,True,True
2026-06-09T16:02:06.896770,S12,Mildiu + estrés hídrico simultáneos — primavera tardía,42,9995Y,Navarra,urgente,1,mildiu_risk,0,0.7845,True,,0.0,0.0,0.0,0.001,0.0,7.325,0.0,7.326,True,True,True,True
2026-06-09T16:02:14.224953,S13,Estrés térmico + estrés hídrico — verano extremo,42,2889,Castilla y León,urgente,3,heat_stress|future_water_stress|irrigation_need,0,0.5515,True,,0.0,0.0,0.0,0.001,0.0,7.722,0.0,7.723,True,True,True,True
2026-06-09T16:02:21.949748,S14,Triple alerta — mildiu + helada + viento fuerte,42,1387,Galicia,urgente,3,frost_risk|mildiu_risk|strong_wind_risk,0,0.5135,True,,0.0,0.0,0.0,0.001,0.0,8.702,0.0,8.703,True,True,True,True
2026-06-09T16:02:30.654585,S15,Condiciones post-lluvia intensa — riesgo de botrytis,42,1387,Galicia,urgente,1,mildiu_risk,0,0.7845,True,,0.0,0.0,0.0,0.001,0.0,7.471,0.0,7.472,True,True,True,True
